"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su","RS_SSB_10","RS_SSB_5","RS_SP_10","RS_SP_5"
1990,"WPWS",98,112,106,107,108,111,1.24866731610581,74.399020674,111.8,6.10804020100502,3.758654,4.585294,38429278208,3.8429278208,5.529,2.129,1.547,-1.2375,2.591333333,2.028,-2.2965,-3.195333333,-0.351,-90,-213,-71,0.131207852521218,-0.879707563668804,-0.0909254604502385,0.552279944739516,-0.622444725604885,-0.00495516315545834,-0.792,-0.2525,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1990,"EPWS",91,111,104,104,106,177,1.2619702818279,89.972931041,111.8,6.32719638242894,3.6,4.31,20196433920,2.019643392,5.529,2.129,1.547,-1.2375,2.591333333,2.028,-2.2965,-3.195333333,-0.351,-90,-213,-71,0.131207852521218,-0.879707563668804,-0.0909254604502385,0.552279944739516,-0.622444725604885,-0.00495516315545834,-0.792,-0.2525,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1991,"WPWS",97,128,112,116,125,61,1.27973648863441,38.56613806,104.08,5.02954375467464,4.025,4.4,38920323072,3.8920323072,6.002,2.011,1.321,1.469,2.934,4.657,-4.216,-4.101333333,-2.65,-90,-155,1,0.139044406135094,0.0900659460483681,-0.835689613827849,-0.298383074269876,-1.40917216813304,-0.21307201568471,-0.632,-0.0875,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1991,"EPWS",91,125,100,103,115,116,1.30960850798539,32.905573965,104.08,6.90319336183053,3.9,4.08,18612303872,1.8612303872,6.002,2.011,1.321,1.469,2.934,4.657,-4.216,-4.101333333,-2.65,-90,-155,1,0.139044406135094,0.0900659460483681,-0.835689613827849,-0.298383074269876,-1.40917216813304,-0.21307201568471,-0.632,-0.0875,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1992,"WPWS",103,118,114,115,117,142,1.17039836603439,68.087834103,88.81,5.10462854920265,4.440909,4.797143,36698693632,3.6698693632,4.69,3.206,2.215,3.1475,1.708333333,1.63,-3.5475,-2.353,-4.542,-181,-255,-24,1.43599402923159,0.660665006058724,-0.323555755444644,-0.639082293618025,0.204533888401458,-0.848857565169675,0.386,0.0575,"98.3496108974699","19.1883773046441","-2.48132440727637","19.1883773046441"
1992,"EPWS",98,117,104,108,108,204,1.2161324257543,51.909186749,88.81,5.45467224546722,4,4.84,19541807104,1.9541807104,4.69,3.206,2.215,3.1475,1.708333333,1.63,-3.5475,-2.353,-4.542,-181,-255,-24,1.43599402923159,0.660665006058724,-0.323555755444644,-0.639082293618025,0.204533888401458,-0.848857565169675,0.386,0.0575,"98.3496108974699","19.1883773046441","-2.48132440727637","19.1883773046441"
1993,"EPWS",93,112,97,100,104,53,1.21237622570796,11.556907429,46.89,5.57817929117443,4.4,5.6,21896933376,2.1896933376,5.959,2.964,2.19,2.1615,1.846666667,3.491,-1.822,-5.464666667,-4.146,-81,-114,-47,0.765968695245185,0.687603159106423,-1.83044453197557,-1.20763767877226,0.369197771721305,0.992176130281393,-0.166,0.0600000000000001,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1993,"WPWS",97,117,103,105,108,117,1.1057278056401,38.73677215,46.89,5.27704722056187,4.01393933333333,6.7,41502326784,4.1502326784,5.959,2.964,2.19,2.1615,1.846666667,3.491,-1.822,-5.464666667,-4.146,-81,-114,-47,0.765968695245185,0.687603159106423,-1.83044453197557,-1.20763767877226,0.369197771721305,0.992176130281393,-0.166,0.0600000000000001,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1994,"WPWS",106,115,110,111,111,56,1.18005992107372,21.38444619,24.04,5.90423708057801,3.58696966666667,5.275,36048601088,3.6048601088,5.483,2.924,2.081,0.557,2.258333333,-0.257,-2.5505,-4.672,-4.54,-25,-458,-31,0.0900659460483681,0.871272384431645,-1.97627247809146,-1.62211889466714,0.667422360400584,1.59136970569528,-0.354,-0.19,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1994,"EPWS",104,114,112,112,112,23,1.05141555252561,1.885287104,24.04,3.14285714285714,4.8,4.75,18168983552,1.8168983552,5.483,2.924,2.081,0.557,2.258333333,-0.257,-2.5505,-4.672,-4.54,-25,-458,-31,0.0900659460483681,0.871272384431645,-1.97627247809146,-1.62211889466714,0.667422360400584,1.59136970569528,-0.354,-0.19,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
