"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
2000,"WPWS",101,115,101,103,105,29,1.33095978566164,9.396236504,14.59,6.20353982300885,4.543695,5.441667,38689902592,3.8689902592,5.629,2.632,2.174,-0.648,0.514,-0.241,-4.9155,-5.315666667,-5.025,-148,-166,-49,-1.33030939646668,-1.17602724719349,1.2753435108975,1.18593709155263,-1.4347865499828,-1.8231188748121,0.162,0.4475
2001,"WPWS",109,116,109,113,113,10,1.29718314977352,8.103282455,13.82,5.60940627084723,4.853333,5.811765,42000809984,4.2000809984,6.195,3.245,2.741,-0.9,-0.227,-3.422,-3.909,-5.002333333,-3.18,-101,-226,-63,-0.848361349213299,-0.556449727096413,2.02878789916296,1.28792985148488,-0.106497891202697,-1.13473236259996,0.558,-1.365
2002,"WPWS",106,114,112,114,114,7,1.34600091731653,12.354284692,17.96,4.00800854244527,3.598506,4.027121,46946672640,4.694667264,6.604,2.953,1.492,1.3745,-0.278,-3.214,-6.2055,-5.331666667,-4.317,-114,-232,-31,-0.162662907999137,-0.140132816359243,1.56699940312929,1.54182672195452,-0.946283696133917,-1.54867906927902,-0.216,-0.3375
2003,"WPWS",93,107,105,105,107,17,1.34548865400356,7.900931437,24.97,4.15178571428571,5.394658,5.579153,41124040704,4.1124040704,6.696,4.426,3.274,-1.6115,-1.093333333,-0.011,-3.251,-5.022,-1.95,-111,-188,-77,0.671930051878671,0.616584391980671,1.39860284630498,0.882128870477851,1.23276835979873,-0.382309895763441,0.814,0.4175
2004,"WPWS",100,111,103,103,106,13,1.29303136443514,11.134419624,24.95,4.95758928571429,3.99236,4.789538,40546033664,4.0546033664,5.95,3.018,2.207,0.2965,-1.452666667,0.817,-3.3565,-3.994666667,-4.521,-43,-354,-23,-0.0137683893354907,-0.00544205112074731,0.127816458723605,0.66729305700354,-0.24554739267279,0.166569715302716,-0.018,0.12
2005,"WPWS",107,123,107,107,123,13,1.19046343286883,5.032378282,20.1,5.22895622895623,4.240082,5.25552,42924412928,4.2924412928,6.269,2.846,2.282,-0.649,-0.000333333,-2.511,-3.6035,-4.767,-4.434,-39,-272,-93,0.468179657917892,0.308020093434298,-1.17421877445403,0.369995012094646,-0.168704247123528,0.116255750954985,0.016,0.2
2006,"WPWS",88,98,98,98,98,2,NA,1.317361073,18.23,NA,4.375143,4.824842,41117036544,4.1117036544,5.901,3.199,2.06,-1.97,-0.667333333,-3.124,-4.136,-4.605666667,-3.212,-240,-368,-126,-0.668120616094148,0.00190471789226156,-1.04748734509141,-1.34435137825591,-0.258354583597667,-0.0301121453293239,-0.154,0.6025
2007,"WPWS",116,141,129,129,130,44,1.27090689674187,8.35206147,21.28,3.16067329762816,3.318802,3.96292,36057169920,3.605716992,5.83,2.262,1.277,1.2915,-1.075666667,0.709,-4.5425,-4.792,-4.952,-262,-335,-219,0.419201197831166,0.234552403304209,-0.512784875999794,-0.411226127811938,-0.609637534680008,-0.336569928174595,-0.012,-0.2175
2008,"WPWS",113,122,114,120,120,31,1.26337186577121,16.770702933,26.14,3.74741426238432,3.618571,4.563506,39652753408,3.9652753408,5.785,2.576,1.351,0.3545,-1.740666667,-0.944,-3.35,-3.524,-4.237,-147,-432,-152,-1.24998472192445,-0.923788177746857,0.619117753375968,0.923359986195143,-1.1255843690822,-0.0461211339854201,-0.162,1.2075
2009,"WPWS",112,133,117,117,119,9,1.40584198102179,5.361143298,24.11,3.06896551724138,3.647651,4.138915,40679636992,4.0679636992,6.347,2.275,0.973,-0.56,0.043666667,1.971,-4.249,-5.310333333,-5.402,-162,-229,-111,-0.9874601758596,-0.977664483842255,0.63995031710681,1.41596331608068,-1.49150410979297,-1.64930699797449,-0.678,-0.1225
